,Continent,Country,Year,Population,LifeExp,gdpPercap
142,Americas,Bolivia,2002,8445134.0,63.883,3413.26269
143,Americas,Bolivia,2007,9119152.0,65.554,3822.1370840000004
144,Europe,Bosnia and Herzegovina,1952,2791000.0,53.82,973.5331947999999
145,Europe,Bosnia and Herzegovina,1957,3076000.0,58.45,1353.989176
146,Europe,Bosnia and Herzegovina,1962,3349000.0,61.93,1709.683679
147,Europe,Bosnia and Herzegovina,1967,3585000.0,64.79,2172.3524230000003
148,Europe,Bosnia and Herzegovina,1972,3819000.0,67.45,2860.16975
149,Europe,Bosnia and Herzegovina,1977,4086000.0,69.86,3528.481305
150,Europe,Bosnia and Herzegovina,1982,4172693.0,70.69,4126.613157
151,Europe,Bosnia and Herzegovina,1987,4338977.0,71.14,4314.114757
152,Europe,Bosnia and Herzegovina,1992,4256013.0,72.178,2546.781445
153,Europe,Bosnia and Herzegovina,1997,3607000.0,73.244,4766.355904
154,Europe,Bosnia and Herzegovina,2002,4165416.0,74.09,6018.975239
155,Europe,Bosnia and Herzegovina,2007,4552198.0,74.852,7446.298803
156,Africa,Botswana,1952,442308.0,47.622,851.2411407
157,Africa,Botswana,1957,474639.0,49.618,918.2325348999999
158,Africa,Botswana,1962,512764.0,51.52,983.6539764
159,Africa,Botswana,1967,553541.0,53.298,1214.709294
160,Africa,Botswana,1972,619351.0,56.023999999999994,2263.6111140000003
161,Africa,Botswana,1977,781472.0,59.318999999999996,3214.857818
162,Africa,Botswana,1982,970347.0,61.483999999999995,4551.14215
163,Africa,Botswana,1987,1151184.0,63.622,6205.88385
164,Africa,Botswana,1992,1342614.0,62.745,7954.111645
165,Africa,Botswana,1997,1536536.0,52.556000000000004,8647.142313
166,Africa,Botswana,2002,1630347.0,46.63399999999999,11003.60508
167,Africa,Botswana,2007,1639131.0,50.728,12569.851770000001
168,Americas,Brazil,1952,56602560.0,50.917,2108.944355
169,Americas,Brazil,1957,65551171.0,53.285,2487.365989
170,Americas,Brazil,1962,76039390.0,55.665,3336.585802
171,Americas,Brazil,1967,88049823.0,57.632,3429.864357
172,Americas,Brazil,1972,100840058.0,59.504,4985.711467
173,Americas,Brazil,1977,114313951.0,61.489,6660.118654
174,Americas,Brazil,1982,128962939.0,63.336000000000006,7030.835878
175,Americas,Brazil,1987,142938076.0,65.205,7807.095818000001
176,Americas,Brazil,1992,155975974.0,67.057,6950.283020999999
177,Americas,Brazil,1997,168546719.0,69.388,7957.980823999999
178,Americas,Brazil,2002,179914212.0,71.006,8131.212843000001
179,Americas,Brazil,2007,190010647.0,72.39,9065.800825
180,Europe,Bulgaria,1952,7274900.0,59.6,2444.2866480000002
181,Europe,Bulgaria,1957,7651254.0,66.61,3008.670727
182,Europe,Bulgaria,1962,8012946.0,69.51,4254.337839
183,Europe,Bulgaria,1967,8310226.0,70.42,5577.0028
184,Europe,Bulgaria,1972,8576200.0,70.9,6597.494398
185,Europe,Bulgaria,1977,8797022.0,70.81,7612.240438
186,Europe,Bulgaria,1982,8892098.0,71.08,8224.191647
187,Europe,Bulgaria,1987,8971958.0,71.34,8239.854824
188,Europe,Bulgaria,1992,8658506.0,71.19,6302.6234380000005
189,Europe,Bulgaria,1997,8066057.0,70.32,5970.38876
190,Europe,Bulgaria,2002,7661799.0,72.14,7696.777725
191,Europe,Bulgaria,2007,7322858.0,73.005,10680.79282
192,Africa,Burkina Faso,1952,4469979.0,31.975,543.2552413
193,Africa,Burkina Faso,1957,4713416.0,34.906,617.1834647999999
194,Africa,Burkina Faso,1962,4919632.0,37.814,722.5120206
195,Africa,Burkina Faso,1967,5127935.0,40.696999999999996,794.8265597
196,Africa,Burkina Faso,1972,5433886.0,43.591,854.7359763000001
197,Africa,Burkina Faso,1977,5889574.0,46.137,743.3870368
198,Africa,Burkina Faso,1982,6634596.0,48.122,807.1985855
199,Africa,Burkina Faso,1987,7586551.0,49.556999999999995,912.0631417000001
200,Africa,Burkina Faso,1992,8878303.0,50.26,931.7527731
201,Africa,Burkina Faso,1997,10352843.0,50.324,946.2949617999999
202,Africa,Burkina Faso,2002,12251209.0,50.65,1037.645221
203,Africa,Burkina Faso,2007,14326203.0,52.295,1217.032994
204,Africa,Burundi,1952,2445618.0,39.031,339.29645869999996
205,Africa,Burundi,1957,2667518.0,40.533,379.56462810000005
206,Africa,Burundi,1962,2961915.0,42.045,355.2032273
207,Africa,Burundi,1967,3330989.0,43.548,412.97751360000007
208,Africa,Burundi,1972,3529983.0,44.056999999999995,464.0995039
209,Africa,Burundi,1977,3834415.0,45.91,556.1032651
210,Africa,Burundi,1982,4580410.0,47.471000000000004,559.6032309999999
211,Africa,Burundi,1987,5126023.0,48.211000000000006,621.8188188999999
212,Africa,Burundi,1992,5809236.0,44.736000000000004,631.6998778
213,Africa,Burundi,1997,6121610.0,45.326,463.1151478
214,Africa,Burundi,2002,7021078.0,47.36,446.4035126
215,Africa,Burundi,2007,8390505.0,49.58,430.07069160000003
216,Asia,Cambodia,1952,4693836.0,39.417,368.46928560000003
217,Asia,Cambodia,1957,5322536.0,41.36600000000001,434.0383364
218,Asia,Cambodia,1962,6083619.0,43.415,496.9136476
219,Asia,Cambodia,1967,6960067.0,45.415,523.4323142
220,Asia,Cambodia,1972,7450606.0,40.317,421.6240257
221,Asia,Cambodia,1977,6978607.0,31.22,524.9721831999999
222,Asia,Cambodia,1982,7272485.0,50.957,624.4754784
223,Asia,Cambodia,1987,8371791.0,53.913999999999994,683.8955732000001
224,Asia,Cambodia,1992,10150094.0,55.803000000000004,682.3031755
225,Asia,Cambodia,1997,11782962.0,56.534,734.28517
226,Asia,Cambodia,2002,12926707.0,56.751999999999995,896.2260152999999
227,Asia,Cambodia,2007,14131858.0,59.723,1713.7786859999999
228,Africa,Cameroon,1952,5009067.0,38.523,1172.667655
229,Africa,Cameroon,1957,5359923.0,40.428000000000004,1313.048099
230,Africa,Cameroon,1962,5793633.0,42.643,1399.607441
231,Africa,Cameroon,1967,6335506.0,44.799,1508.453148
232,Africa,Cameroon,1972,7021028.0,47.049,1684.1465280000002
233,Africa,Cameroon,1977,7959865.0,49.355,1783.432873
234,Africa,Cameroon,1982,9250831.0,52.961000000000006,2367.983282
235,Africa,Cameroon,1987,10780667.0,54.985,2602.664206
236,Africa,Cameroon,1992,12467171.0,54.31399999999999,1793.1632780000002
237,Africa,Cameroon,1997,14195809.0,52.199,1694.337469
238,Africa,Cameroon,2002,15929988.0,49.856,1934.0114489999999
239,Africa,Cameroon,2007,17696293.0,50.43,2042.0952399999999
240,Americas,Canada,1952,14785584.0,68.75,11367.16112
241,Americas,Canada,1957,17010154.0,69.96,12489.95006
242,Americas,Canada,1962,18985849.0,71.3,13462.48555
243,Americas,Canada,1967,20819767.0,72.13,16076.58803
244,Americas,Canada,1972,22284500.0,72.88,18970.57086
245,Americas,Canada,1977,23796400.0,74.21,22090.88306
246,Americas,Canada,1982,25201900.0,75.76,22898.79214
247,Americas,Canada,1987,26549700.0,76.86,26626.515030000002
248,Americas,Canada,1992,28523502.0,77.95,26342.88426
249,Americas,Canada,1997,30305843.0,78.61,28954.92589
250,Americas,Canada,2002,31902268.0,79.77,33328.96507
251,Americas,Canada,2007,33390141.0,80.653,36319.235010000004
252,Africa,Central African Republic,1952,1291695.0,35.463,1071.310713
253,Africa,Central African Republic,1957,1392284.0,37.464,1190.844328
254,Africa,Central African Republic,1962,1523478.0,39.475,1193.068753
255,Africa,Central African Republic,1967,1733638.0,41.478,1136.056615
256,Africa,Central African Republic,1972,1927260.0,43.457,1070.013275
257,Africa,Central African Republic,1977,2167533.0,46.775,1109.374338
258,Africa,Central African Republic,1982,2476971.0,48.295,956.7529906999999
259,Africa,Central African Republic,1987,2840009.0,50.485,844.8763504000001
260,Africa,Central African Republic,1992,3265124.0,49.396,747.9055252
261,Africa,Central African Republic,1997,3696513.0,46.066,740.5063317
262,Africa,Central African Republic,2002,4048013.0,43.308,738.6906068
263,Africa,Central African Republic,2007,4369038.0,44.74100000000001,706.016537
264,Africa,Chad,1952,2682462.0,38.092,1178.665927
265,Africa,Chad,1957,2894855.0,39.881,1308.495577
266,Africa,Chad,1962,3150417.0,41.716,1389.817618
267,Africa,Chad,1967,3495967.0,43.601000000000006,1196.810565
268,Africa,Chad,1972,3899068.0,45.568999999999996,1104.103987
269,Africa,Chad,1977,4388260.0,47.383,1133.98495
270,Africa,Chad,1982,4875118.0,49.516999999999996,797.9081006
271,Africa,Chad,1987,5498955.0,51.051,952.3861289999999
272,Africa,Chad,1992,6429417.0,51.724,1058.0643
273,Africa,Chad,1997,7562011.0,51.573,1004.9613529999999
274,Africa,Chad,2002,8835739.0,50.525,1156.18186
275,Africa,Chad,2007,10238807.0,50.651,1704.0637239999999
276,Americas,Chile,1952,6377619.0,54.745,3939.9787890000002
277,Americas,Chile,1957,7048426.0,56.074,4315.6227229999995
278,Americas,Chile,1962,7961258.0,57.924,4519.094331
279,Americas,Chile,1967,8858908.0,60.523,5106.654313
280,Americas,Chile,1972,9717524.0,63.441,5494.024437
281,Americas,Chile,1977,10599793.0,67.05199999999999,4756.763836
282,Americas,Chile,1982,11487112.0,70.565,5095.665738000001
283,Americas,Chile,1987,12463354.0,72.492,5547.063754
284,Americas,Chile,1992,13572994.0,74.126,7596.125964
285,Americas,Chile,1997,14599929.0,75.816,10118.053179999999
286,Americas,Chile,2002,15497046.0,77.86,10778.78385
287,Americas,Chile,2007,16284741.0,78.553,13171.63885
288,Asia,China,1952,556263527.9999889,44.0,400.448610699994
289,Asia,China,1957,637408000.0,50.54896,575.9870009
290,Asia,China,1962,665770000.0,44.50136,487.6740183
291,Asia,China,1967,754550000.0,58.381119999999996,612.7056934
292,Asia,China,1972,862030000.0,63.118880000000004,676.9000921
293,Asia,China,1977,943455000.0,63.96736,741.2374699
294,Asia,China,1982,1000281000.0,65.525,962.4213804999999
295,Asia,China,1987,1084035000.0,67.274,1378.904018
296,Asia,China,1992,1164970000.0,68.69,1655.784158
297,Asia,China,1997,1230075000.0,70.426,2289.234136
298,Asia,China,2002,1280400000.0,72.028,3119.280896
299,Asia,China,2007,1318683096.0,72.961,4959.1148539999995
300,Americas,Colombia,1952,12350771.0,50.643,2144.115096
301,Americas,Colombia,1957,14485993.0,55.118,2323.805581
302,Americas,Colombia,1962,17009885.0,57.863,2492.351109
303,Americas,Colombia,1967,19764027.0,59.963,2678.729839
304,Americas,Colombia,1972,22542890.0,61.623000000000005,3264.660041
305,Americas,Colombia,1977,25094412.0,63.836999999999996,3815.80787
306,Americas,Colombia,1982,27764644.0,66.653,4397.575659
307,Americas,Colombia,1987,30964245.0,67.768,4903.2191
308,Americas,Colombia,1992,34202721.0,68.421,5444.648617
309,Americas,Colombia,1997,37657830.0,70.313,6117.3617460000005
310,Americas,Colombia,2002,41008227.0,71.682,5755.259962
311,Americas,Colombia,2007,44227550.0,72.889,7006.580419
312,Africa,Comoros,1952,153936.0,40.715,1102.990936
313,Africa,Comoros,1957,170928.0,42.46,1211.1485480000001
314,Africa,Comoros,1962,191689.0,44.467,1406.648278
315,Africa,Comoros,1967,217378.0,46.472,1876.029643
316,Africa,Comoros,1972,250027.0,48.943999999999996,1937.577675
317,Africa,Comoros,1977,304739.0,50.93899999999999,1172.603047
318,Africa,Comoros,1982,348643.0,52.933,1267.100083
319,Africa,Comoros,1987,395114.0,54.926,1315.980812
320,Africa,Comoros,1992,454429.0,57.93899999999999,1246.90737
321,Africa,Comoros,1997,527982.0,60.66,1173.618235
322,Africa,Comoros,2002,614382.0,62.974,1075.811558
323,Africa,Comoros,2007,710960.0,65.152,986.1478792000001
324,Africa,"Congo, Dem. Rep.",1952,14100005.0,39.143,780.5423257
325,Africa,"Congo, Dem. Rep.",1957,15577932.0,40.652,905.8602302999999
326,Africa,"Congo, Dem. Rep.",1962,17486434.0,42.122,896.3146335000001
327,Africa,"Congo, Dem. Rep.",1967,19941073.0,44.056000000000004,861.5932424
328,Africa,"Congo, Dem. Rep.",1972,23007669.0,45.989,904.8960685000001
329,Africa,"Congo, Dem. Rep.",1977,26480870.0,47.803999999999995,795.757282
330,Africa,"Congo, Dem. Rep.",1982,30646495.0,47.784,673.7478181
331,Africa,"Congo, Dem. Rep.",1987,35481645.0,47.412,672.774812
332,Africa,"Congo, Dem. Rep.",1992,41672143.0,45.548,457.7191807
333,Africa,"Congo, Dem. Rep.",1997,47798986.0,42.586999999999996,312.188423
334,Africa,"Congo, Dem. Rep.",2002,55379852.0,44.966,241.16587650000002
335,Africa,"Congo, Dem. Rep.",2007,64606759.0,46.461999999999996,277.55185869999997
336,Africa,"Congo, Rep.",1952,854885.0,42.111000000000004,2125.621418
337,Africa,"Congo, Rep.",1957,940458.0,45.053000000000004,2315.056572
338,Africa,"Congo, Rep.",1962,1047924.0,48.435,2464.783157
339,Africa,"Congo, Rep.",1967,1179760.0,52.04,2677.9396420000003
340,Africa,"Congo, Rep.",1972,1340458.0,54.907,3213.152683
341,Africa,"Congo, Rep.",1977,1536769.0,55.625,3259.178978
342,Africa,"Congo, Rep.",1982,1774735.0,56.695,4879.507522
343,Africa,"Congo, Rep.",1987,2064095.0,57.47,4201.194936999999
344,Africa,"Congo, Rep.",1992,2409073.0,56.433,4016.239529
345,Africa,"Congo, Rep.",1997,2800947.0,52.961999999999996,3484.1643759999997
346,Africa,"Congo, Rep.",2002,3328795.0,52.97,3484.06197
347,Africa,"Congo, Rep.",2007,3800610.0,55.321999999999996,3632.557798
348,Americas,Costa Rica,1952,926317.0,57.206,2627.0094710000003
349,Americas,Costa Rica,1957,1112300.0,60.026,2990.010802
350,Americas,Costa Rica,1962,1345187.0,62.842,3460.937025
351,Americas,Costa Rica,1967,1588717.0,65.42399999999999,4161.727834
352,Americas,Costa Rica,1972,1834796.0,67.84899999999999,5118.146939
353,Americas,Costa Rica,1977,2108457.0,70.75,5926.876967
354,Americas,Costa Rica,1982,2424367.0,73.45,5262.734751
355,Americas,Costa Rica,1987,2799811.0,74.752,5629.915318
356,Americas,Costa Rica,1992,3173216.0,75.71300000000001,6160.416317
357,Americas,Costa Rica,1997,3518107.0,77.26,6677.045314
358,Americas,Costa Rica,2002,3834934.0,78.123,7723.447195000001
359,Americas,Costa Rica,2007,4133884.0,78.782,9645.06142
360,Africa,Cote d'Ivoire,1952,2977019.0,40.477,1388.594732
361,Africa,Cote d'Ivoire,1957,3300000.0,42.468999999999994,1500.895925
362,Africa,Cote d'Ivoire,1962,3832408.0,44.93,1728.8694280000002
363,Africa,Cote d'Ivoire,1967,4744870.0,47.35,2052.0504730000002
364,Africa,Cote d'Ivoire,1972,6071696.0,49.801,2378.201111
365,Africa,Cote d'Ivoire,1977,7459574.0,52.373999999999995,2517.736547
366,Africa,Cote d'Ivoire,1982,9025951.0,53.983000000000004,2602.710169
367,Africa,Cote d'Ivoire,1987,10761098.0,54.655,2156.9560690000003
368,Africa,Cote d'Ivoire,1992,12772596.0,52.044,1648.073791
369,Africa,Cote d'Ivoire,1997,14625967.0,47.99100000000001,1786.265407
370,Africa,Cote d'Ivoire,2002,16252726.0,46.832,1648.800823
371,Africa,Cote d'Ivoire,2007,18013409.0,48.328,1544.750112
372,Europe,Croatia,1952,3882229.0,61.21,3119.23652
373,Europe,Croatia,1957,3991242.0,64.77,4338.231617
374,Europe,Croatia,1962,4076557.0,67.13,5477.890018
375,Europe,Croatia,1967,4174366.0,68.5,6960.297861
376,Europe,Croatia,1972,4225310.0,69.61,9164.090127
377,Europe,Croatia,1977,4318673.0,70.64,11305.38517
378,Europe,Croatia,1982,4413368.0,70.46,13221.82184
379,Europe,Croatia,1987,4484310.0,71.52,13822.58394
380,Europe,Croatia,1992,4494013.0,72.527,8447.794873
381,Europe,Croatia,1997,4444595.0,73.68,9875.604515
382,Europe,Croatia,2002,4481020.0,74.876,11628.38895
383,Europe,Croatia,2007,4493312.0,75.748,14619.222719999998
384,Americas,Cuba,1952,6007797.0,59.42100000000001,5586.53878
385,Americas,Cuba,1957,6640752.0,62.325,6092.174359000001
386,Americas,Cuba,1962,7254373.0,65.24600000000001,5180.75591
387,Americas,Cuba,1967,8139332.0,68.29,5690.268015
388,Americas,Cuba,1972,8831348.0,70.723,5305.445256
389,Americas,Cuba,1977,9537988.0,72.649,6380.494965999999
390,Americas,Cuba,1982,9789224.0,73.717,7316.9181069999995
391,Americas,Cuba,1987,10239839.0,74.17399999999999,7532.924762999999
392,Americas,Cuba,1992,10723260.0,74.414,5592.843963
393,Americas,Cuba,1997,10983007.0,76.15100000000001,5431.990415
394,Americas,Cuba,2002,11226999.0,77.158,6340.646683
395,Americas,Cuba,2007,11416987.0,78.273,8948.102923
396,Europe,Czech Republic,1952,9125183.0,66.87,6876.14025
397,Europe,Czech Republic,1957,9513758.0,69.03,8256.343918
398,Europe,Czech Republic,1962,9620282.0,69.9,10136.86713
399,Europe,Czech Republic,1967,9835109.0,70.38,11399.44489
400,Europe,Czech Republic,1972,9862158.0,70.29,13108.4536
401,Europe,Czech Republic,1977,10161915.0,70.71,14800.160619999999
402,Europe,Czech Republic,1982,10303704.0,70.96,15377.22855
403,Europe,Czech Republic,1987,10311597.0,71.58,16310.4434
404,Europe,Czech Republic,1992,10315702.0,72.4,14297.021219999999
405,Europe,Czech Republic,1997,10300707.0,74.01,16048.51424
406,Europe,Czech Republic,2002,10256295.0,75.51,17596.210219999997
407,Europe,Czech Republic,2007,10228744.0,76.486,22833.30851
408,Europe,Denmark,1952,4334000.0,70.78,9692.385245
409,Europe,Denmark,1957,4487831.0,71.81,11099.65935
410,Europe,Denmark,1962,4646899.0,72.35,13583.31351
411,Europe,Denmark,1967,4838800.0,72.96,15937.21123
412,Europe,Denmark,1972,4991596.0,73.47,18866.20721
413,Europe,Denmark,1977,5088419.0,74.69,20422.9015
414,Europe,Denmark,1982,5117810.0,74.63,21688.04048
415,Europe,Denmark,1987,5127024.0,74.8,25116.17581
416,Europe,Denmark,1992,5171393.0,75.33,26406.73985
417,Europe,Denmark,1997,5283663.0,76.11,29804.34567
418,Europe,Denmark,2002,5374693.0,77.18,32166.500060000002
419,Europe,Denmark,2007,5468120.0,78.332,35278.41874
420,Africa,Djibouti,1952,63149.0,34.812,2669.529475
421,Africa,Djibouti,1957,71851.0,37.328,2864.9690760000003
422,Africa,Djibouti,1962,89898.0,39.693000000000005,3020.989263
423,Africa,Djibouti,1967,127617.0,42.074,3020.0505129999997
424,Africa,Djibouti,1972,178848.0,44.36600000000001,3694.2123520000005
425,Africa,Djibouti,1977,228694.0,46.519,3081.7610219999997
426,Africa,Djibouti,1982,305991.0,48.812,2879.4680670000002
427,Africa,Djibouti,1987,311025.0,50.04,2880.102568
428,Africa,Djibouti,1992,384156.0,51.604,2377.1561920000004
429,Africa,Djibouti,1997,417908.0,53.157,1895.016984
430,Africa,Djibouti,2002,447416.0,53.373000000000005,1908.2608670000002
